,Months,original CO2 Monthly mean values,Predicted CO2 Monthly mean values
0,2014-11,395.6373953,
1,2014-12,397.5592204,
2,2015-1,397.4190249,
3,2015-2,398.9809592,
4,2015-3,399.9708653,
5,2015-4,401.0884895,
6,2015-5,402.8823698,
7,2015-6,399.3269824,
8,2015-7,397.453181,
9,2015-8,396.460217,
10,2015-9,396.7572852,
11,2015-10,395.4986286,
12,2015-12,399.7987739,
13,2016-1,400.6491215,
14,2016-2,403.1097202,
15,2016-3,404.0125618,
16,2016-4,405.8035136,
17,2016-5,405.6441566,
18,2016-6,402.4374995,
19,2016-7,401.7875721,
20,2016-8,400.453943,
21,2016-9,403.0895438,
22,2016-10,399.0852698,
23,2016-11,400.1380244,
24,2016-12,402.4728165,
25,2017-1,403.3011452,
26,2017-2,404.3881941,
27,2017-3,406.438289,
28,2017-4,408.7121547,
29,2017-5,408.4562424,
30,2017-6,404.6189927,
31,2017-7,402.9736177,
32,2017-9,401.4059857,
33,2017-11,403.7349596,
34,2017-12,405.2835627,
35,2018-1,404.9935289,
36,2018-2,406.9867905,
37,2018-3,408.3446312,
38,2018-4,410.0734186,
39,2018-5,409.3779959,
40,2018-6,405.7606936,
41,2018-9,404.2970443,
42,2018-10,404.204909,
43,2018-12,408.3811889,
44,2019-1,407.6703523,
45,2019-2,409.8212192,
46,2019-3,411.1319175,
47,2019-4,413.1797082,
48,2019-5,413.8932909,
49,2019-6,411.6431351,
50,2019-8,407.3273075,
51,2019-9,407.9348442,
52,2019-10,404.5102484,
53,2019-11,408.4965629,
54,2019-12,408.7841609,
55,2020-1,410.2803176,
56,2020-2,410.949504,
57,2020-3,413.0011082,
58,2020-4,413.8301955,
59,2020-5,417.1956764,
60,2020-6,408.6812472,
61,2020-7,405.5016117,
62,2020-9,407.7622287,
63,2020-10,407.3810096,
64,2020-11,405.4072226,
65,2020-12,412.7112191,
66,2021-1,412.3220766,
67,2021-2,414.2432472,
68,2021-3,415.2146222,
69,2021-4,417.3456709,
70,2021-5,413.3680194,
71,2021-6,413.0883626,
72,2021-7,413.5896282,
73,2021-8,411.5357672,
74,2021-9,411.3448394,
75,2021-10,411.6307959,
76,2021-12,413.7388029,
77,2022-1,414.574579,
78,2022-2,416.715705,
79,2022-3,418.2327527,
80,2022-4,419.2740347,419.402192
81,2022-5,417.3080833,419.169064
82,2022-6,418.4778505,416.609966
83,2022-7,413.9782056,413.425438
84,2022-8,410.8370892,413.25905
85,2022-9,414.051096,411.716191
86,2022-10,413.9957087,420.035319
87,2022-11,416.9440424,416.609361
88,2022-12,417.9705091,418.383943
89,2023-1,418.3752882,420.494975
90,2023-2,418.2698167,420.78634
91,2023-3,,422.185919
