,Months,mean,stddev,pixelcount
0,2014-11,395.6373953,1.645495028,698
1,2014-12,397.5592204,2.532339213,541
2,2015-1,397.4190249,0.657778866,447
3,2015-2,398.9809592,0.967656339,1159
4,2015-3,399.9708653,1.838570105,457
5,2015-4,401.0884895,1.100871465,367
6,2015-5,402.8823698,1.510372773,222
7,2015-6,399.3269824,1.923512666,207
8,2015-7,397.453181,1.308771439,10
9,2015-8,396.460217,2.345746218,221
10,2015-9,396.7572852,2.050122702,78
11,2015-10,395.4986286,1.334278203,543
12,2015-12,399.7987739,1.15825236,810
13,2016-1,400.6491215,1.041701982,518
14,2016-2,403.1097202,1.291376571,341
15,2016-3,404.0125618,1.19161415,492
16,2016-4,405.8035136,1.260558466,965
17,2016-5,405.6441566,1.17223073,1272
18,2016-6,402.4374995,1.885678315,41
19,2016-7,401.7875721,1.054349342,17
20,2016-8,400.453943,2.465844552,80
21,2016-9,403.0895438,0.0,1
22,2016-10,399.0852698,1.482330346,313
23,2016-11,400.1380244,1.209093272,279
24,2016-12,402.4728165,2.613672773,327
25,2017-1,403.3011452,1.039473769,1016
26,2017-2,404.3881941,0.982775925,860
27,2017-3,406.438289,1.179392691,593
28,2017-4,408.7121547,1.590158025,1060
29,2017-5,408.4562424,2.090611658,146
30,2017-6,404.6189927,2.47997069,29
31,2017-7,402.9736177,3.235784293,30
32,2017-9,401.4059857,2.044664436,85
33,2017-11,403.7349596,0.994494608,80
34,2017-12,405.2835627,0.545925024,447
35,2018-1,404.9935289,1.218059134,1162
36,2018-2,406.9867905,0.700773372,201
37,2018-3,408.3446312,1.065252883,814
38,2018-4,410.0734186,0.973844466,735
39,2018-5,409.3779959,2.114199575,271
40,2018-6,405.7606936,2.239111318,254
41,2018-9,404.2970443,2.302866892,498
42,2018-10,404.204909,1.913426465,144
43,2018-12,408.3811889,1.245369774,320
44,2019-1,407.6703523,1.035239044,1175
45,2019-2,409.8212192,1.020226697,780
46,2019-3,411.1319175,1.171306072,793
47,2019-4,413.1797082,1.333935903,1069
48,2019-5,413.8932909,0.85896354,595
49,2019-6,411.6431351,1.787743078,239
50,2019-8,407.3273075,2.100307496,14
51,2019-9,407.9348442,2.890887338,55
52,2019-10,404.5102484,5.311984385,271
53,2019-11,408.4965629,2.6095644,196
54,2019-12,408.7841609,1.975136448,281
55,2020-1,410.2803176,2.754135251,1701
56,2020-2,410.949504,2.057231655,2856
57,2020-3,413.0011082,0.808432004,771
58,2020-4,413.8301955,2.090571651,3895
59,2020-5,417.1956764,2.287807965,125
60,2020-6,408.6812472,3.476378139,47
61,2020-7,405.5016117,5.498575,6
62,2020-9,407.7622287,4.006901508,100
63,2020-10,407.3810096,4.673629759,231
64,2020-11,405.4072226,5.696757669,1761
65,2020-12,412.7112191,3.528436038,1196
66,2021-1,412.3220766,2.631165798,971
67,2021-2,414.2432472,1.27437034,1047
68,2021-3,415.2146222,0.982963912,3814
69,2021-4,417.3456709,1.694498549,4416
70,2021-5,413.3680194,3.960439594,1170
71,2021-6,413.0883626,3.719636653,947
72,2021-7,413.5896282,2.404980812,146
73,2021-8,411.5357672,4.372900624,84
74,2021-9,411.3448394,2.944259981,63
75,2021-10,411.6307959,5.912710794,530
76,2021-12,413.7388029,3.55327985,3074
77,2022-1,414.574579,2.727180152,1759
78,2022-2,416.715705,1.452900563,4951
79,2022-3,418.2327527,1.877656516,2559
80,2022-4,419.2740347,1.743220872,3357
81,2022-5,417.3080833,3.401382977,147
82,2022-6,418.4778505,1.606975424,1202
83,2022-7,413.9782056,4.030688022,134
84,2022-8,410.8370892,4.002405414,441
85,2022-9,414.051096,2.494502946,237
86,2022-10,413.9957087,2.010138827,2449
87,2022-11,416.9440424,3.46883079,2012
88,2022-12,417.9705091,1.059770223,2749
89,2023-1,418.3752882,1.740759486,4879
90,2023-2,418.2698167,0.946473513,681
