,system:index,mean,stddev,pixelcount
0,2014-10,0.295534332,0.146022955,575
1,2014-11,0.220736929,0.118875509,930
2,2014-12,0.140734624,0.112187178,1313
3,2015-1,0.102476089,0.113561081,580
4,2015-2,0.100061166,0.116194601,1329
5,2015-3,0.131698115,0.139496631,828
6,2015-4,0.189035762,0.157277744,701
7,2015-5,0.239305827,0.156764774,1182
8,2015-6,0.273385092,0.19190334,939
9,2015-7,0.25850971,0.196389401,688
10,2015-8,0.27685965,0.192432099,907
11,2015-9,0.287530936,0.155367392,321
12,2015-10,0.301858732,0.134669909,988
13,2015-11,0.239708268,0.150668787,118
14,2015-12,0.160728432,0.109359925,1062
15,2016-1,0.149010647,0.112180899,941
16,2016-2,0.127034691,0.117398466,915
17,2016-3,0.142907724,0.121795578,632
18,2016-4,0.165745788,0.157082743,1272
19,2016-5,0.180013777,0.168826114,1875
20,2016-6,0.275223205,0.21813658,240
21,2016-7,0.323453278,0.191279016,806
22,2016-8,0.298964431,0.203342673,515
23,2016-9,0.285953619,0.178922494,544
24,2016-10,0.215277409,0.146622082,640
25,2016-11,0.150103092,0.123262439,411
26,2016-12,0.129731702,0.101117125,815
27,2017-1,0.119368035,0.098683918,1373
28,2017-2,0.08952136,0.102070078,1066
29,2017-3,0.129278396,0.137748057,767
30,2017-4,0.14616874,0.152889694,1623
31,2017-5,0.203166411,0.170145687,1352
32,2017-6,0.264058052,0.197557097,763
33,2017-7,0.250552207,0.207650295,526
34,2017-9,0.338468784,0.170054204,279
35,2017-10,0.233321517,0.142875733,93
36,2017-11,0.181479169,0.115725694,548
37,2017-12,0.134138857,0.088942851,582
38,2018-1,0.122678853,0.096008491,1241
39,2018-2,0.091940083,0.091907602,225
40,2018-3,0.12673932,0.101899347,859
41,2018-4,0.169089592,0.158618779,1613
42,2018-5,0.247877184,0.17046815,1231
43,2018-6,0.33945062,0.20390198,1093
44,2018-7,0.293767871,0.197367516,493
45,2018-8,0.254676215,0.196994208,633
46,2018-9,0.260211591,0.16386255,1293
47,2018-10,0.275168442,0.133059065,582
48,2018-11,0.165693634,0.112753673,185
49,2018-12,0.156377847,0.102506639,655
50,2019-1,0.116787794,0.114195611,1348
51,2019-2,0.147563923,0.119138425,993
52,2019-3,0.140553979,0.140388101,1058
53,2019-4,0.10593367,0.151231227,1319
54,2019-5,0.197152809,0.164430425,1469
55,2019-6,0.225644243,0.182092514,1115
56,2019-7,0.26391726,0.210014873,443
57,2019-8,0.241002703,0.200632333,1506
58,2019-9,0.323389098,0.179721673,591
59,2019-10,0.30084439,0.146895834,946
60,2019-11,0.21708383,0.126973888,698
61,2019-12,0.167020885,0.129441563,769
62,2020-1,0.123549589,0.12593726,1982
63,2020-2,0.126810139,0.118937342,3726
64,2020-3,0.136934467,0.137885372,1044
65,2020-4,0.124168058,0.154307744,5313
66,2020-5,0.195261585,0.135691405,2919
67,2020-6,0.280495264,0.175244742,2115
68,2020-7,0.32586691,0.197672068,1610
69,2020-8,0.32398674,0.148781788,2591
70,2020-9,0.304505369,0.187973889,2273
71,2020-10,0.296124528,0.13511534,2203
72,2020-11,0.262156233,0.176883466,2745
73,2020-12,0.193188566,0.185587783,2574
74,2021-1,0.161960102,0.127142214,1581
75,2021-2,0.140753656,0.124219166,1401
76,2021-3,0.134324045,0.133277613,4418
77,2021-4,0.14338349,0.134212158,5891
78,2021-5,0.219936745,0.17690216,3803
79,2021-6,0.29819155,0.184979298,3582
80,2021-7,0.311130559,0.18333863,983
81,2021-8,0.291439149,0.196037807,2186
82,2021-9,0.295911615,0.178233706,1210
83,2021-10,0.280059182,0.158609312,2721
84,2021-11,0.250004875,0.182266791,1363
85,2021-12,0.181821397,0.10922094,4237
86,2022-1,0.163937754,0.124396487,3153
87,2022-2,0.136273251,0.108487973,5834
88,2022-3,0.125546617,0.125903175,3333
89,2022-4,0.188035921,0.113399741,4003
90,2022-5,0.301204375,0.155346766,2233
91,2022-6,0.31532746,0.152035452,3102
92,2022-7,0.293017732,0.154234061,1923
93,2022-8,0.304572758,0.168142393,1963
94,2022-9,0.291573629,0.172337962,1882
95,2022-10,0.236563199,0.121174761,3333
96,2022-11,0.206334109,0.134163483,3852
97,2022-12,0.14381904,0.096504023,2345
98,2023-1,0.14297738,0.115534736,4593
