Months,mean
12/1/2014,0.6873402
1/1/2015,-0.5673766
2/1/2015,0.190676067
3/1/2015,-0.0425727
4/1/2015,-0.2254187
5/1/2015,1.783089233
6/1/2015,-0.560528667
7/1/2015,-0.293612467
8/1/2015,-0.430010733
9/1/2015,0.518574933
10/1/2015,-1.852933967
12/1/2015,1.149932567
1/1/2016,-0.536750367
2/1/2016,0.519252367
3/1/2016,-0.296036733
4/1/2016,0.650102933
5/1/2016,1.0157667
6/1/2016,-0.852243233
7/1/2016,0.227900567
8/1/2016,-1.323076633
9/1/2016,2.2132916
10/1/2016,-1.6856762
11/1/2016,-0.427345833
12/1/2016,0.502154467
1/1/2017,-0.086240067
2/1/2017,-0.321015333
3/1/2017,-0.074590267
4/1/2017,0.843259333
5/1/2017,1.193779133
6/1/2017,-0.7306249
7/1/2017,-0.025914333
9/1/2017,-1.298868633
11/1/2017,0.2601236
12/1/2017,0.612878967
1/1/2018,-0.761098467
2/1/2018,0.211806967
3/1/2018,-0.1236489
4/1/2018,0.808070033
5/1/2018,0.973959867
6/1/2018,-0.717884333
9/1/2018,-0.457171333
10/1/2018,-1.422805067
12/1/2018,1.629038833
1/1/2019,-0.953901167
2/1/2019,0.2800562
3/1/2019,-0.245697467
4/1/2019,0.444736
5/1/2019,0.987912833
6/1/2019,0.688557267
8/1/2019,-1.641121433
9/1/2019,1.344044167
10/1/2019,-2.470303433
11/1/2019,1.2329055
12/1/2019,-0.4028529
1/1/2020,0.275656767
2/1/2020,-0.460805933
3/1/2020,0.407505633
4/1/2020,-0.845464533
5/1/2020,3.959970033
6/1/2020,-1.778264567
7/1/2020,-1.8134175
9/1/2020,0.880612033
10/1/2020,0.530855967
11/1/2020,-3.0925945
12/1/2020,2.564379667
1/1/2021,-0.770104367
2/1/2021,0.316598533
3/1/2021,-0.3865579
4/1/2021,2.0362334
5/1/2021,-1.2326649
6/1/2021,-0.260307467
7/1/2021,0.851708867
8/1/2021,-0.620977733
9/1/2021,-0.158961433
10/1/2021,-0.607350167
12/1/2021,0.424076967
1/1/2022,-0.435116633
2/1/2022,0.2080261
3/1/2022,0.158588567
4/1/2022,1.002411133
5/1/2022,-1.045239533
6/1/2022,1.889804033
7/1/2022,-0.452842833
8/1/2022,-2.1183744
9/1/2022,1.089798033
10/1/2022,-1.001240333
11/1/2022,0.640622333
12/1/2022,0.2072292
1/1/2023,0.170083533
